Minutes,Hour Began,Customers Affected,Latitude,Mean Elevation ,AvgAnnualPrecipitationIn,TempAvg,TempAvgHighF,TempAvgLowF,
0,6,65904,35.858,900,55.1,57.6,69.4,47.5,[0] 0
0,17,69106,35.5557,700,50.8,59,70.5,48.6,[0] 0
0,11,87000,28.6305,100,54.4,70.7,81.9,60.9,[0] 0
0,11,44000,37.1841,2900,22.3,59.4,71.5,46.5,[0] 0
0,8,70000,35.5557,700,50.8,59,70.5,48.6,[0] 0
0,6,19000,31.4757,1700,28.6,64.8,78.1,53.5,[0] 0
0,4,75290,37.5215,950,45.8,55.1,66.9,45.1,[0] 0
0,2,61008,31.4757,1700,28.6,64.8,78.1,53.5,[0] 0
0,12,170190,40.2862,850,41.1,50.7,61.7,41.6,[0] 0
0,0,9400,31.4757,1700,28.6,64.8,78.1,53.5,[0] 0
0,13,76000,44.3467,900,33.9,44.4,55,35.3,[0] 0
0,1,230000,47.3826,1700,43.2,48.3,57,37.6,[0] 0
0,4,172278,33.9169,350,48.3,62.4,74.7,52,[0] 0
0,3,69524,37.1841,2900,22.3,59.4,71.5,46.5,[0] 0
0,4,90000,28.6305,100,54.4,70.7,81.9,60.9,[0] 0
0,9,145000,37.1841,2900,22.3,59.4,71.5,46.5,[0] 0
0,5,82124,45.3695,600,59.7,66.4,77.5,56.7,[0] 0
0,16,6100,35.5557,700,50.8,59,70.5,48.6,[0] 0
0,5,146660,31.4757,1700,28.6,64.8,78.1,53.5,[0] 0
0,5,151852,44.3467,900,33.9,44.4,55,35.3,[0] 0
0,23,181000,40.0417,600,40.7,51.8,62.7,42.6,[0] 0
0,6,200675,46.2807,1200,33.9,44.4,55,35.3,[0] 0
0,3,150000,31.0689,100,50.4,55.6,67.2,45.4,[0] 0
0,0,63408,38.6409,1500,47.1,51.8,63.5,41.7,[0] 0
0,2,52172,31.4757,1700,28.6,64.8,78.1,53.5,[0] 0
0,7,55677,37.1841,2900,22.3,59.4,71.5,46.5,[0] 0
0,6,82000,34.2744,4100,11.6,60.3,75.3,46.8,[1] 0
0,2,85263,39.055,350,45.5,41,51.9,31.7,[0] 0
0,0,71000,35.5557,700,50.8,59,70.5,48.6,[0] 0
0,1,11383,37.1841,2900,22.3,59.4,71.5,46.5,[0] 0
0,4,171117,31.4757,1700,28.6,64.8,78.1,53.5,[0] 0
0,2,66445,32.6415,600,50.4,63.5,75.6,52.7,[1] 0
0,1,103000,47.3826,1700,43.2,48.3,57,37.6,[0] 0
0,7,82621,39.8942,795,43.6,51.7,62.5,42.2,[0] 0
0,0,168419,31.4757,1700,28.6,64.8,78.1,53.5,[0] 0
0,1,54167,37.5347,750,50.4,55.6,67.2,45.4,[0] 0
0,17,52702,39.8942,795,43.6,51.7,62.5,42.2,[0] 0
0,18,65112,40.8781,1100,45,48.8,59.7,39.2,[0] 0
0,18,71500,47.3826,1700,43.2,48.3,57,37.6,[0] 0
0,0,100000,40.0417,600,40.7,51.8,62.7,42.6,[0] 0
0,23,100000,40.2862,850,41.1,50.7,61.7,41.6,[0] 0
0,18,100000,44.6243,1050,34.1,43.1,54,33.7,[0] 0
0,7,158000,38.9896,60,48.7,49,60,39.8,[0] 0
0,19,140464,31.4757,1700,28.6,64.8,78.1,53.5,[0] 0
0,15,93828,32.6415,600,50.4,63.5,75.6,52.7,[0] 0
0,2,52000,31.4757,1700,28.6,64.8,78.1,53.5,[0] 0
0,18,162551,40.2862,850,41.1,50.7,61.7,41.6,[0] 0
0,9,79000,37.1841,2900,22.3,59.4,71.5,46.5,[0] 0
0,23,65888,37.1841,2900,22.3,59.4,71.5,46.5,[0] 0
0,4,48000,31.4757,1700,28.6,64.8,78.1,53.5,[0] 0
0,19,100000,38.3566,800,43.5,54.5,66,44.5,[0] 0
0,20,47000,37.1841,2900,22.3,59.4,71.5,46.5,[0] 0
0,17,53000,35.5557,700,50.8,59,70.5,48.6,[0] 0
0,13,76000,47.3826,1700,43.2,48.3,57,37.6,[0] 0
0,5,65000,31.4757,1700,28.6,64.8,78.1,53.5,[0] 0
0,16,283000,37.5215,950,45.8,55.1,66.9,45.1,[0] 0
0,22,145314,44.3467,900,33.9,44.4,55,35.3,[0] 0
0,14,9000,43.9336,3300,32.1,48.4,59.4,36.4,[0] 0
0,8,233000,37.5215,950,45.8,55.1,66.9,45.1,[0] 0
0,14,220000,35.5557,700,50.8,59,70.5,48.6,[0] 0
0,16,181700,37.5347,750,50.4,55.6,67.2,45.4,[0] 0
0,23,109000,40.0417,600,40.7,51.8,62.7,42.6,[0] 0
0,17,122314,40.2862,850,41.1,50.7,61.7,41.6,[0] 0
0,6,17600,33.9169,350,48.3,62.4,74.7,52,[0] 0
0,18,156000,37.5215,950,45.8,55.1,66.9,45.1,[0] 0
0,6,160000,32.6415,600,54.4,70.7,81.9,60.9,[0] 0
0,19,103000,43.9336,3300,32.1,48.4,59.4,36.4,[0] 0
0,18,76234,37.1841,2900,22.3,59.4,71.5,46.5,[0] 0
0,10,60000,39.3055,6100,13.5,48.6,62,36.4,[0] 0
0,22,64000,35.858,900,55.1,57.6,69.4,47.5,[0] 0
0,6,117500,44.3467,900,33.9,44.4,55,35.3,[0] 0
0,3,70000,37.1841,2900,22.3,59.4,71.5,46.5,[0] 0
0,18,132000,40.8781,1100,45,48.8,59.7,39.2,[0] 0
0,13,231956,31.4757,1700,28.6,64.8,78.1,53.5,[0] 0
0,10,51686,37.1841,2900,22.3,59.4,71.5,46.5,[0] 0
0,21,148000,37.1841,2900,22.3,59.4,71.5,46.5,[0] 0
0,13,175000,35.5557,700,50.8,59,70.5,48.6,[0] 0
0,22,70000,40.2862,850,41.1,50.7,61.7,41.6,[0] 0
0,20,97734,38.3566,800,43.5,54.5,66,44.5,[0] 0
0,19,160895,44.3467,900,33.9,44.4,55,35.3,[0] 0
0,2,250000,46.2807,1200,28.6,41.2,51.9,31.4,[0] 0
0,18,163932,31.4757,1700,28.6,64.8,78.1,53.5,[0] 0
0,11,136833,37.1841,2900,22.3,59.4,71.5,46.5,[0] 0
0,7,132000,42.2596,500,48.6,47.9,58.8,38.7,[0] 0
0,14,130000,31.4757,1700,28.6,64.8,78.1,53.5,[0] 0
0,6,148000,31.4757,1700,28.6,64.8,78.1,53.5,[0] 0
